spend_id,campaign_id,spend_date,channel,impressions,clicks,conversions,spend_amount,updated_at
SPEND-0000001,CMP-0001,2023-12-15,Email,95782,4023,511,1604.15,2023-12-17 00:00:00
SPEND-0000002,CMP-0001,2023-12-21,Email,79952,4526,650,2081.16,2023-12-28 00:00:00
SPEND-0000003,CMP-0001,2023-12-25,Email,60508,3746,153,614.49,2024-01-01 00:00:00
SPEND-0000004,CMP-0001,2023-12-26,Email,127662,9116,797,2195.16,2024-01-02 00:00:00
SPEND-0000005,CMP-0001,2023-12-28,Email,143238,8466,493,1721.26,2023-12-29 00:00:00
SPEND-0000006,CMP-0001,2023-12-30,Email,10539,421,9,212.29,2024-01-08 00:00:00
SPEND-0000007,CMP-0001,2024-01-05,Email,66083,4065,446,1251.09,2024-01-11 00:00:00
SPEND-0000008,CMP-0001,2024-01-07,Email,130620,6233,102,1354.28,2024-01-08 00:00:00
SPEND-0000009,CMP-0001,2024-01-24,Email,66600,3503,354,663.65,2024-01-29 00:00:00
SPEND-0000010,CMP-0001,2024-01-25,Email,75046,3891,506,1319.58,2024-01-31 00:00:00
SPEND-0000011,CMP-0001,2024-02-03,Email,102614,6330,153,894.31,2024-02-06 00:00:00
SPEND-0000012,CMP-0001,2024-02-08,Email,77591,4541,195,722.15,2024-02-12 00:00:00
SPEND-0000013,CMP-0001,2024-02-14,Email,43800,609,32,514.39,2024-02-18 00:00:00
SPEND-0000014,CMP-0002,2024-12-13,Paid Social,119617,3032,357,1250.78,2024-12-20 00:00:00
SPEND-0000015,CMP-0002,2024-12-17,Paid Social,151607,10791,639,1429.51,2024-12-22 00:00:00
SPEND-0000016,CMP-0002,2024-12-19,Paid Social,158948,4367,475,1849.39,2024-12-19 00:00:00
SPEND-0000017,CMP-0002,2024-12-20,Paid Social,137774,8591,433,1982.83,2024-12-26 00:00:00
SPEND-0000018,CMP-0002,2024-12-21,Paid Social,100783,4847,106,1150.08,2024-12-29 00:00:00
SPEND-0000019,CMP-0002,2024-12-23,Paid Social,96096,7005,473,819.3,2024-12-26 00:00:00
SPEND-0000020,CMP-0002,2024-12-25,Paid Social,156003,5384,691,1903.92,2024-12-31 00:00:00
SPEND-0000021,CMP-0002,2024-12-27,Paid Social,45103,3231,380,914.31,2025-01-05 00:00:00
SPEND-0000022,CMP-0002,2024-12-30,Paid Social,20723,1086,114,580.08,2024-12-30 00:00:00
SPEND-0000023,CMP-0002,2025-01-02,Paid Social,75578,2650,159,1570.43,2025-01-04 00:00:00
SPEND-0000024,CMP-0002,2025-01-03,Paid Social,124701,3351,416,2084.41,2025-01-05 00:00:00
SPEND-0000025,CMP-0002,2025-01-06,Paid Social,68165,800,68,1747.86,2025-01-06 00:00:00
SPEND-0000026,CMP-0002,2025-01-07,Paid Social,112398,3189,362,2302.05,2025-01-07 00:00:00
SPEND-0000027,CMP-0002,2025-01-10,Paid Social,94953,2740,191,1228.8,2025-01-18 00:00:00
SPEND-0000028,CMP-0002,2025-01-14,Paid Social,18455,1056,90,407.23,2025-01-22 00:00:00
