check_id,run_id,layer_name,table_name,check_name,check_category,severity,status,expected_value,actual_value,failed_row_count,dq_issue_reason,checked_at
local-75340984-c022-521c-8ad1-a01feaadf672_silver_customers_required_key_not_null,local-75340984-c022-521c-8ad1-a01feaadf672,silver,customers,required_key_not_null,completeness,critical,passed,0 failed rows,0 failed rows,0,,2026-07-21 14:17:42+00:00
local-75340984-c022-521c-8ad1-a01feaadf672_silver_customers_dq_status_valid_or_rejected,local-75340984-c022-521c-8ad1-a01feaadf672,silver,customers,dq_status_valid_or_rejected,validity,warning,passed,0 failed rows,0 failed rows,0,,2026-07-21 14:17:42+00:00
local-75340984-c022-521c-8ad1-a01feaadf672_silver_products_required_key_not_null,local-75340984-c022-521c-8ad1-a01feaadf672,silver,products,required_key_not_null,completeness,critical,passed,0 failed rows,0 failed rows,0,,2026-07-21 14:17:42+00:00
local-75340984-c022-521c-8ad1-a01feaadf672_silver_products_dq_status_valid_or_rejected,local-75340984-c022-521c-8ad1-a01feaadf672,silver,products,dq_status_valid_or_rejected,validity,warning,passed,0 failed rows,0 failed rows,0,,2026-07-21 14:17:42+00:00
local-75340984-c022-521c-8ad1-a01feaadf672_silver_campaigns_required_key_not_null,local-75340984-c022-521c-8ad1-a01feaadf672,silver,campaigns,required_key_not_null,completeness,critical,passed,0 failed rows,0 failed rows,0,,2026-07-21 14:17:42+00:00
local-75340984-c022-521c-8ad1-a01feaadf672_silver_campaigns_dq_status_valid_or_rejected,local-75340984-c022-521c-8ad1-a01feaadf672,silver,campaigns,dq_status_valid_or_rejected,validity,warning,passed,0 failed rows,0 failed rows,0,,2026-07-21 14:17:42+00:00
local-75340984-c022-521c-8ad1-a01feaadf672_silver_orders_required_key_not_null,local-75340984-c022-521c-8ad1-a01feaadf672,silver,orders,required_key_not_null,completeness,critical,passed,0 failed rows,0 failed rows,0,,2026-07-21 14:17:42+00:00
local-75340984-c022-521c-8ad1-a01feaadf672_silver_orders_dq_status_valid_or_rejected,local-75340984-c022-521c-8ad1-a01feaadf672,silver,orders,dq_status_valid_or_rejected,validity,warning,passed,0 failed rows,0 failed rows,0,,2026-07-21 14:17:42+00:00
local-75340984-c022-521c-8ad1-a01feaadf672_silver_ad_spend_required_key_not_null,local-75340984-c022-521c-8ad1-a01feaadf672,silver,ad_spend,required_key_not_null,completeness,critical,passed,0 failed rows,0 failed rows,0,,2026-07-21 14:17:42+00:00
local-75340984-c022-521c-8ad1-a01feaadf672_silver_ad_spend_dq_status_valid_or_rejected,local-75340984-c022-521c-8ad1-a01feaadf672,silver,ad_spend,dq_status_valid_or_rejected,validity,warning,passed,0 failed rows,0 failed rows,0,,2026-07-21 14:17:42+00:00
local-75340984-c022-521c-8ad1-a01feaadf672_silver_support_tickets_required_key_not_null,local-75340984-c022-521c-8ad1-a01feaadf672,silver,support_tickets,required_key_not_null,completeness,critical,passed,0 failed rows,0 failed rows,0,,2026-07-21 14:17:42+00:00
local-75340984-c022-521c-8ad1-a01feaadf672_silver_support_tickets_dq_status_valid_or_rejected,local-75340984-c022-521c-8ad1-a01feaadf672,silver,support_tickets,dq_status_valid_or_rejected,validity,warning,passed,0 failed rows,0 failed rows,0,,2026-07-21 14:17:42+00:00
local-75340984-c022-521c-8ad1-a01feaadf672_gold_fact_orders_foreign_keys_not_null,local-75340984-c022-521c-8ad1-a01feaadf672,gold,fact_orders,foreign_keys_not_null,referential_integrity,critical,passed,0 failed rows,0 failed rows,0,,2026-07-21 14:17:42+00:00
local-75340984-c022-521c-8ad1-a01feaadf672_gold_fact_ad_spend_foreign_keys_not_null,local-75340984-c022-521c-8ad1-a01feaadf672,gold,fact_ad_spend,foreign_keys_not_null,referential_integrity,critical,passed,0 failed rows,0 failed rows,0,,2026-07-21 14:17:42+00:00
local-75340984-c022-521c-8ad1-a01feaadf672_gold_fact_support_tickets_foreign_keys_not_null,local-75340984-c022-521c-8ad1-a01feaadf672,gold,fact_support_tickets,foreign_keys_not_null,referential_integrity,critical,passed,0 failed rows,0 failed rows,0,,2026-07-21 14:17:42+00:00
local-78f97399-aba7-564e-a327-2f925947cc93_silver_customers_required_key_not_null,local-78f97399-aba7-564e-a327-2f925947cc93,silver,customers,required_key_not_null,completeness,critical,passed,0 failed rows,0 failed rows,0,,2026-07-22 14:17:42+00:00
local-78f97399-aba7-564e-a327-2f925947cc93_silver_customers_dq_status_valid_or_rejected,local-78f97399-aba7-564e-a327-2f925947cc93,silver,customers,dq_status_valid_or_rejected,validity,warning,passed,0 failed rows,0 failed rows,0,,2026-07-22 14:17:42+00:00
local-78f97399-aba7-564e-a327-2f925947cc93_silver_products_required_key_not_null,local-78f97399-aba7-564e-a327-2f925947cc93,silver,products,required_key_not_null,completeness,critical,passed,0 failed rows,0 failed rows,0,,2026-07-22 14:17:42+00:00
local-78f97399-aba7-564e-a327-2f925947cc93_silver_products_dq_status_valid_or_rejected,local-78f97399-aba7-564e-a327-2f925947cc93,silver,products,dq_status_valid_or_rejected,validity,warning,passed,0 failed rows,0 failed rows,0,,2026-07-22 14:17:42+00:00
local-78f97399-aba7-564e-a327-2f925947cc93_silver_campaigns_required_key_not_null,local-78f97399-aba7-564e-a327-2f925947cc93,silver,campaigns,required_key_not_null,completeness,critical,passed,0 failed rows,0 failed rows,0,,2026-07-22 14:17:42+00:00
local-78f97399-aba7-564e-a327-2f925947cc93_silver_campaigns_dq_status_valid_or_rejected,local-78f97399-aba7-564e-a327-2f925947cc93,silver,campaigns,dq_status_valid_or_rejected,validity,warning,passed,0 failed rows,0 failed rows,0,,2026-07-22 14:17:42+00:00
local-78f97399-aba7-564e-a327-2f925947cc93_silver_orders_required_key_not_null,local-78f97399-aba7-564e-a327-2f925947cc93,silver,orders,required_key_not_null,completeness,critical,passed,0 failed rows,0 failed rows,0,,2026-07-22 14:17:42+00:00
local-78f97399-aba7-564e-a327-2f925947cc93_silver_orders_dq_status_valid_or_rejected,local-78f97399-aba7-564e-a327-2f925947cc93,silver,orders,dq_status_valid_or_rejected,validity,warning,passed,0 failed rows,0 failed rows,0,,2026-07-22 14:17:42+00:00
local-78f97399-aba7-564e-a327-2f925947cc93_silver_ad_spend_required_key_not_null,local-78f97399-aba7-564e-a327-2f925947cc93,silver,ad_spend,required_key_not_null,completeness,critical,passed,0 failed rows,0 failed rows,0,,2026-07-22 14:17:42+00:00
local-78f97399-aba7-564e-a327-2f925947cc93_silver_ad_spend_dq_status_valid_or_rejected,local-78f97399-aba7-564e-a327-2f925947cc93,silver,ad_spend,dq_status_valid_or_rejected,validity,warning,passed,0 failed rows,0 failed rows,0,,2026-07-22 14:17:42+00:00
local-78f97399-aba7-564e-a327-2f925947cc93_silver_support_tickets_required_key_not_null,local-78f97399-aba7-564e-a327-2f925947cc93,silver,support_tickets,required_key_not_null,completeness,critical,passed,0 failed rows,0 failed rows,0,,2026-07-22 14:17:42+00:00
local-78f97399-aba7-564e-a327-2f925947cc93_silver_support_tickets_dq_status_valid_or_rejected,local-78f97399-aba7-564e-a327-2f925947cc93,silver,support_tickets,dq_status_valid_or_rejected,validity,warning,passed,0 failed rows,0 failed rows,0,,2026-07-22 14:17:42+00:00
local-78f97399-aba7-564e-a327-2f925947cc93_gold_fact_orders_foreign_keys_not_null,local-78f97399-aba7-564e-a327-2f925947cc93,gold,fact_orders,foreign_keys_not_null,referential_integrity,critical,passed,0 failed rows,0 failed rows,0,,2026-07-22 14:17:42+00:00
local-78f97399-aba7-564e-a327-2f925947cc93_gold_fact_ad_spend_foreign_keys_not_null,local-78f97399-aba7-564e-a327-2f925947cc93,gold,fact_ad_spend,foreign_keys_not_null,referential_integrity,critical,passed,0 failed rows,0 failed rows,0,,2026-07-22 14:17:42+00:00
local-78f97399-aba7-564e-a327-2f925947cc93_gold_fact_support_tickets_foreign_keys_not_null,local-78f97399-aba7-564e-a327-2f925947cc93,gold,fact_support_tickets,foreign_keys_not_null,referential_integrity,critical,passed,0 failed rows,0 failed rows,0,,2026-07-22 14:17:42+00:00
local-cbfe7383-57d3-5c34-852a-58fd13f2d759_silver_customers_required_key_not_null,local-cbfe7383-57d3-5c34-852a-58fd13f2d759,silver,customers,required_key_not_null,completeness,critical,passed,0 failed rows,0 failed rows,0,,2026-07-23 14:17:42+00:00
local-cbfe7383-57d3-5c34-852a-58fd13f2d759_silver_customers_dq_status_valid_or_rejected,local-cbfe7383-57d3-5c34-852a-58fd13f2d759,silver,customers,dq_status_valid_or_rejected,validity,warning,passed,0 failed rows,0 failed rows,0,,2026-07-23 14:17:42+00:00
local-cbfe7383-57d3-5c34-852a-58fd13f2d759_silver_products_required_key_not_null,local-cbfe7383-57d3-5c34-852a-58fd13f2d759,silver,products,required_key_not_null,completeness,critical,passed,0 failed rows,0 failed rows,0,,2026-07-23 14:17:42+00:00
