reconciliation_id,run_id,source_layer,target_layer,source_table,target_table,source_row_count,target_row_count,row_count_difference,reconciliation_status,checked_at
local-75340984-c022-521c-8ad1-a01feaadf672_source_bronze_customers,local-75340984-c022-521c-8ad1-a01feaadf672,source,bronze,customers.csv,bronze_customers_raw,1000,1000,0,matched,2026-07-21 14:17:42+00:00
local-75340984-c022-521c-8ad1-a01feaadf672_bronze_silver_customers,local-75340984-c022-521c-8ad1-a01feaadf672,bronze,silver,bronze_customers_raw,silver_customers,1000,1000,0,matched,2026-07-21 14:17:42+00:00
local-75340984-c022-521c-8ad1-a01feaadf672_source_bronze_products,local-75340984-c022-521c-8ad1-a01feaadf672,source,bronze,products.csv,bronze_products_raw,12,12,0,matched,2026-07-21 14:17:42+00:00
local-75340984-c022-521c-8ad1-a01feaadf672_bronze_silver_products,local-75340984-c022-521c-8ad1-a01feaadf672,bronze,silver,bronze_products_raw,silver_products,12,12,0,matched,2026-07-21 14:17:42+00:00
local-75340984-c022-521c-8ad1-a01feaadf672_source_bronze_campaigns,local-75340984-c022-521c-8ad1-a01feaadf672,source,bronze,campaigns.csv,bronze_campaigns_raw,36,36,0,matched,2026-07-21 14:17:42+00:00
local-75340984-c022-521c-8ad1-a01feaadf672_bronze_silver_campaigns,local-75340984-c022-521c-8ad1-a01feaadf672,bronze,silver,bronze_campaigns_raw,silver_campaigns,36,36,0,matched,2026-07-21 14:17:42+00:00
local-75340984-c022-521c-8ad1-a01feaadf672_source_bronze_orders,local-75340984-c022-521c-8ad1-a01feaadf672,source,bronze,orders.csv,bronze_orders_raw,10000,10000,0,matched,2026-07-21 14:17:42+00:00
local-75340984-c022-521c-8ad1-a01feaadf672_bronze_silver_orders,local-75340984-c022-521c-8ad1-a01feaadf672,bronze,silver,bronze_orders_raw,silver_orders,10000,10000,0,matched,2026-07-21 14:17:42+00:00
local-75340984-c022-521c-8ad1-a01feaadf672_source_bronze_ad_spend,local-75340984-c022-521c-8ad1-a01feaadf672,source,bronze,ad_spend.csv,bronze_ad_spend_raw,918,918,0,matched,2026-07-21 14:17:42+00:00
local-75340984-c022-521c-8ad1-a01feaadf672_bronze_silver_ad_spend,local-75340984-c022-521c-8ad1-a01feaadf672,bronze,silver,bronze_ad_spend_raw,silver_ad_spend,918,918,0,matched,2026-07-21 14:17:42+00:00
local-75340984-c022-521c-8ad1-a01feaadf672_source_bronze_support_tickets,local-75340984-c022-521c-8ad1-a01feaadf672,source,bronze,support_tickets.csv,bronze_support_tickets_raw,1450,1450,0,matched,2026-07-21 14:17:42+00:00
local-75340984-c022-521c-8ad1-a01feaadf672_bronze_silver_support_tickets,local-75340984-c022-521c-8ad1-a01feaadf672,bronze,silver,bronze_support_tickets_raw,silver_support_tickets,1450,1450,0,matched,2026-07-21 14:17:42+00:00
