order_id,customer_id,product_id,order_date,quantity,unit_price,discount_amount,tax_amount,total_amount,payment_status,refund_flag,campaign_id,updated_at
ORD-00000001,CUST-000915,PROD-012,2025-10-04,3,189.0,0.0,45.36,612.36,Paid,False,CMP-0034,2025-10-20 00:00:00
ORD-00000002,CUST-000235,PROD-005,2025-06-27,1,499.0,0.0,39.92,538.92,Paid,False,CMP-0030,2025-07-27 00:00:00
ORD-00000003,CUST-000300,PROD-008,2025-11-18,1,599.0,0.0,47.92,646.92,Failed,False,CMP-0032,2025-11-18 00:00:00
ORD-00000004,CUST-000624,PROD-010,2025-11-10,1,129.0,12.9,9.29,125.39,Paid,False,CMP-0006,2025-11-21 00:00:00
ORD-00000005,CUST-000481,PROD-010,2025-12-15,1,129.0,0.0,10.32,139.32,Failed,False,CMP-0001,2026-01-07 00:00:00
ORD-00000006,CUST-000980,PROD-003,2025-01-20,2,399.0,0.0,63.84,861.84,Paid,False,CMP-0010,2025-02-18 00:00:00
ORD-00000007,CUST-000060,PROD-012,2025-11-28,2,189.0,37.8,27.22,367.42,Pending,False,CMP-0032,2025-12-08 00:00:00
ORD-00000008,CUST-000123,PROD-007,2025-09-17,4,249.0,0.0,79.68,1075.68,Paid,False,CMP-0016,2025-10-13 00:00:00
ORD-00000009,CUST-000342,PROD-001,2025-11-25,2,49.0,4.9,7.45,100.55,Paid,False,,2025-11-30 00:00:00
ORD-00000010,CUST-000459,PROD-002,2025-05-03,2,149.0,59.6,19.07,257.47,Paid,False,CMP-0019,2025-05-09 00:00:00
ORD-00000011,CUST-000891,PROD-009,2025-10-28,1,299.0,0.0,23.92,322.92,Paid,False,,2025-10-28 00:00:00
ORD-00000012,CUST-000495,PROD-006,2025-05-02,1,79.0,0.0,6.32,85.32,Paid,False,CMP-0004,2025-06-06 00:00:00
ORD-00000013,CUST-000438,PROD-002,2025-07-30,4,149.0,119.2,38.14,514.94,Failed,False,CMP-0023,2025-08-25 00:00:00
ORD-00000014,CUST-000167,PROD-007,2025-02-03,3,249.0,74.7,53.78,726.08,Pending,False,CMP-0029,2025-02-13 00:00:00
ORD-00000015,CUST-000435,PROD-008,2025-12-12,2,599.0,0.0,95.84,1293.84,Paid,False,,2025-12-29 00:00:00
ORD-00000016,CUST-000532,PROD-001,2025-10-17,2,49.0,9.8,7.06,95.26,Paid,False,,2025-11-22 00:00:00
ORD-00000017,CUST-000584,PROD-005,2025-08-23,2,499.0,0.0,79.84,1077.84,Paid,False,CMP-0031,2025-09-06 00:00:00
ORD-00000018,CUST-000606,PROD-006,2025-10-29,4,79.0,31.6,22.75,307.15,Paid,False,CMP-0017,2025-11-10 00:00:00
ORD-00000019,CUST-000430,PROD-010,2025-05-08,1,129.0,6.45,9.8,132.35,Paid,False,CMP-0004,2025-05-25 00:00:00
ORD-00000020,CUST-000158,PROD-008,2025-08-30,2,599.0,0.0,95.84,1293.84,Paid,False,CMP-0005,2025-09-08 00:00:00
ORD-00000021,CUST-000153,PROD-002,2025-10-27,1,149.0,14.9,10.73,144.83,Paid,False,,2025-12-01 00:00:00
ORD-00000022,CUST-000155,PROD-008,2025-07-04,1,599.0,0.0,47.92,646.92,Pending,False,CMP-0031,2025-08-13 00:00:00
ORD-00000023,CUST-000619,PROD-011,2025-12-30,3,699.0,314.55,142.6,1925.05,Paid,False,CMP-0036,2026-01-09 00:00:00
ORD-00000024,CUST-000857,PROD-001,2025-07-24,3,49.0,14.7,10.58,142.88,Paid,False,CMP-0025,2025-09-04 00:00:00
ORD-00000025,CUST-000884,PROD-012,2025-12-12,4,189.0,151.2,48.38,653.18,Paid,False,,2026-01-04 00:00:00
ORD-00000026,CUST-000312,PROD-002,2024-12-29,1,149.0,0.0,11.92,160.92,Pending,False,CMP-0033,2025-01-28 00:00:00
ORD-00000027,CUST-000080,PROD-008,2025-04-19,1,599.0,0.0,47.92,646.92,Paid,False,CMP-0034,2025-06-03 00:00:00
ORD-00000028,CUST-000631,PROD-005,2025-12-10,2,499.0,0.0,79.84,1077.84,Paid,False,CMP-0001,2026-01-20 00:00:00
ORD-00000029,CUST-000039,PROD-009,2025-12-31,4,299.0,0.0,95.68,1291.68,Paid,False,CMP-0023,2026-01-02 00:00:00
ORD-00000030,CUST-000627,PROD-011,2025-12-17,5,699.0,0.0,279.6,3774.6,Paid,False,CMP-0028,2025-12-22 00:00:00
ORD-00000031,CUST-000384,PROD-011,2025-05-31,4,699.0,139.8,212.5,2868.7,Paid,False,,2025-06-30 00:00:00
ORD-00000032,CUST-000840,PROD-011,2025-12-14,5,699.0,0.0,279.6,3774.6,Paid,False,,2026-01-11 00:00:00
ORD-00000033,CUST-000626,PROD-010,2025-11-21,4,129.0,103.2,33.02,445.82,Paid,False,CMP-0029,2025-12-22 00:00:00
ORD-00000034,CUST-000740,PROD-004,2025-05-20,1,199.0,0.0,15.92,214.92,Paid,False,CMP-0020,2025-05-27 00:00:00
ORD-00000035,CUST-000406,PROD-006,2025-12-22,2,79.0,0.0,12.64,170.64,Paid,False,CMP-0025,2026-01-10 00:00:00
ORD-00000036,CUST-000841,PROD-009,2025-03-09,3,299.0,44.85,68.17,920.32,Paid,False,CMP-0036,2025-03-31 00:00:00
ORD-00000037,CUST-000526,PROD-003,2024-11-12,1,399.0,0.0,31.92,430.92,Paid,False,,2024-12-19 00:00:00
ORD-00000038,CUST-000626,PROD-007,2025-09-08,5,249.0,124.5,89.64,1210.14,Paid,False,CMP-0007,2025-10-07 00:00:00
ORD-00000039,CUST-000361,PROD-007,2025-05-26,4,249.0,49.8,75.7,1021.9,Paid,False,CMP-0018,2025-06-25 00:00:00
ORD-00000040,CUST-000450,PROD-012,2024-12-16,2,189.0,37.8,27.22,367.42,Paid,False,CMP-0015,2024-12-31 00:00:00
ORD-00000041,CUST-000841,PROD-001,2025-03-24,2,49.0,4.9,7.45,100.55,Paid,False,CMP-0018,2025-04-25 00:00:00
ORD-00000042,CUST-000394,PROD-002,2024-10-13,4,149.0,59.6,42.91,579.31,Paid,False,CMP-0016,2024-10-16 00:00:00
ORD-00000043,CUST-000022,PROD-001,2025-05-29,1,49.0,9.8,3.14,42.34,Paid,False,,2025-06-03 00:00:00
ORD-00000044,CUST-000380,PROD-007,2025-10-05,1,249.0,0.0,19.92,268.92,Pending,True,,2025-10-24 00:00:00
ORD-00000045,CUST-000392,PROD-007,2025-08-11,2,249.0,0.0,39.84,537.84,Paid,False,CMP-0025,2025-09-05 00:00:00
ORD-00000046,CUST-000419,PROD-008,2025-02-19,1,599.0,59.9,43.13,582.23,Paid,False,CMP-0024,2025-03-04 00:00:00
ORD-00000047,CUST-000071,PROD-003,2024-10-31,2,399.0,0.0,63.84,861.84,Paid,False,,2024-11-07 00:00:00
ORD-00000048,CUST-000130,PROD-004,2024-11-08,2,199.0,0.0,31.84,429.84,Paid,False,CMP-0013,2024-12-01 00:00:00
ORD-00000049,CUST-000325,PROD-006,2025-11-01,2,79.0,7.9,12.01,162.11,Paid,False,CMP-0012,2025-11-04 00:00:00
ORD-00000050,CUST-000424,PROD-001,2025-12-07,2,49.0,0.0,7.84,105.84,Paid,False,,2025-12-16 00:00:00
ORD-00000051,CUST-000030,PROD-010,2025-05-28,5,129.0,0.0,51.6,696.6,Paid,False,,2025-06-16 00:00:00
ORD-00000052,CUST-000390,PROD-001,2025-11-09,1,49.0,4.9,3.53,47.63,Paid,False,CMP-0024,2025-12-02 00:00:00
ORD-00000053,CUST-000321,PROD-009,2025-05-14,2,299.0,0.0,47.84,645.84,Paid,False,,2025-05-18 00:00:00
ORD-00000054,CUST-000035,PROD-006,2025-12-31,3,79.0,0.0,18.96,255.96,Paid,False,,2026-02-06 00:00:00
ORD-00000055,CUST-000251,PROD-012,2025-12-28,1,189.0,18.9,13.61,183.71,Paid,True,CMP-0019,2025-12-28 00:00:00
ORD-00000056,CUST-000276,PROD-009,2025-01-26,3,299.0,89.7,64.58,871.88,Paid,False,,2025-02-17 00:00:00
ORD-00000057,CUST-000144,PROD-006,2025-08-04,5,79.0,19.75,30.02,405.27,Paid,False,CMP-0009,2025-09-17 00:00:00
ORD-00000058,CUST-000752,PROD-009,2025-10-09,2,299.0,0.0,47.84,645.84,Paid,False,CMP-0001,2025-11-19 00:00:00
ORD-00000059,CUST-000073,PROD-002,2025-07-24,1,149.0,0.0,11.92,160.92,Paid,False,,2025-09-02 00:00:00
ORD-00000060,CUST-000578,PROD-003,2025-10-18,1,399.0,39.9,28.73,387.83,Paid,False,CMP-0036,2025-11-19 00:00:00
ORD-00000061,CUST-000666,PROD-006,2025-12-30,1,79.0,0.0,6.32,85.32,Paid,False,CMP-0033,2026-01-07 00:00:00
ORD-00000062,CUST-000807,PROD-011,2024-09-22,1,699.0,104.85,47.53,641.68,Paid,False,,2024-10-21 00:00:00
ORD-00000063,CUST-000546,PROD-010,2025-07-14,4,129.0,51.6,37.15,501.55,Paid,False,CMP-0011,2025-07-20 00:00:00
ORD-00000064,CUST-000543,PROD-005,2025-12-17,1,499.0,0.0,39.92,538.92,Paid,False,CMP-0001,2026-01-30 00:00:00
ORD-00000065,CUST-000761,PROD-004,2024-10-04,5,199.0,49.75,75.62,1020.87,Paid,False,,2024-10-19 00:00:00
ORD-00000066,CUST-000855,PROD-012,2025-10-23,5,189.0,141.75,64.26,867.51,Paid,False,CMP-0016,2025-10-25 00:00:00
ORD-00000067,CUST-000211,PROD-007,2025-06-17,3,249.0,112.05,50.8,685.75,Paid,False,CMP-0020,2025-06-22 00:00:00
ORD-00000068,CUST-000797,PROD-002,2025-11-14,5,149.0,37.25,56.62,764.37,Paid,False,,2025-11-18 00:00:00
ORD-00000069,CUST-000463,PROD-003,2025-05-20,2,399.0,0.0,63.84,861.84,Paid,False,,2025-06-04 00:00:00
ORD-00000070,CUST-000099,PROD-011,2025-09-12,5,699.0,174.75,265.62,3585.87,Paid,False,CMP-0020,2025-09-20 00:00:00
ORD-00000071,CUST-000613,PROD-011,2025-05-14,2,699.0,69.9,106.25,1434.35,Paid,False,CMP-0027,2025-06-15 00:00:00
ORD-00000072,CUST-000978,PROD-011,2025-12-27,1,699.0,34.95,53.12,717.17,Paid,False,,2026-01-28 00:00:00
ORD-00000073,CUST-000141,PROD-001,2025-12-20,4,49.0,0.0,15.68,211.68,Paid,False,CMP-0015,2025-12-31 00:00:00
ORD-00000074,CUST-000015,PROD-010,2025-10-15,5,129.0,96.75,43.86,592.11,Paid,False,CMP-0009,2025-10-20 00:00:00
ORD-00000075,CUST-000917,PROD-002,2025-06-29,5,149.0,0.0,59.6,804.6,Paid,False,,2025-08-03 00:00:00
ORD-00000076,CUST-000597,PROD-010,2025-12-19,2,129.0,0.0,20.64,278.64,Paid,False,,2025-12-21 00:00:00
ORD-00000077,CUST-000220,PROD-011,2025-12-31,1,699.0,0.0,55.92,754.92,Paid,False,,2026-02-11 00:00:00
ORD-00000078,CUST-000793,PROD-005,2025-11-30,2,499.0,0.0,79.84,1077.84,Paid,False,CMP-0015,2025-12-13 00:00:00
ORD-00000079,CUST-000394,PROD-003,2025-10-20,4,399.0,0.0,127.68,1723.68,Paid,False,,2025-10-21 00:00:00
ORD-00000080,CUST-000332,PROD-009,2025-12-13,4,299.0,0.0,95.68,1291.68,Paid,False,,2026-01-14 00:00:00
ORD-00000081,CUST-000290,PROD-001,2025-09-20,2,49.0,0.0,7.84,105.84,Pending,False,,2025-10-14 00:00:00
ORD-00000082,CUST-000599,PROD-007,2025-12-25,4,249.0,0.0,79.68,1075.68,Failed,False,CMP-0031,2026-02-03 00:00:00
ORD-00000083,CUST-000135,PROD-004,2025-08-05,1,199.0,0.0,15.92,214.92,Paid,False,,2025-08-08 00:00:00
ORD-00000084,CUST-000363,PROD-006,2025-12-22,2,79.0,0.0,12.64,170.64,Paid,False,,2026-01-10 00:00:00
ORD-00000085,CUST-000306,PROD-010,2024-11-23,1,129.0,0.0,10.32,139.32,Paid,False,,2024-12-18 00:00:00
ORD-00000086,CUST-000061,PROD-012,2025-12-23,3,189.0,0.0,45.36,612.36,Paid,False,,2026-01-06 00:00:00
ORD-00000087,CUST-000764,PROD-005,2025-04-18,1,499.0,0.0,39.92,538.92,Paid,False,CMP-0002,2025-04-19 00:00:00
ORD-00000088,CUST-000009,PROD-004,2025-11-01,2,199.0,39.8,28.66,386.86,Paid,False,,2025-11-06 00:00:00
ORD-00000089,CUST-000960,PROD-011,2025-09-24,5,699.0,0.0,279.6,3774.6,Paid,False,,2025-10-16 00:00:00
ORD-00000090,CUST-000095,PROD-005,2024-06-13,1,499.0,24.95,37.92,511.97,Paid,False,,2024-07-07 00:00:00
ORD-00000091,CUST-000359,PROD-003,2025-12-09,2,399.0,0.0,63.84,861.84,Paid,False,CMP-0031,2025-12-28 00:00:00
ORD-00000092,CUST-000099,PROD-011,2025-10-17,1,699.0,0.0,55.92,754.92,Paid,False,CMP-0004,2025-11-14 00:00:00
ORD-00000093,CUST-000367,PROD-012,2025-12-05,3,189.0,0.0,45.36,612.36,Paid,False,CMP-0016,2026-01-18 00:00:00
ORD-00000094,CUST-000611,PROD-004,2025-12-12,5,199.0,0.0,79.6,1074.6,Paid,False,CMP-0028,2025-12-15 00:00:00
ORD-00000095,CUST-000088,PROD-002,2025-06-25,1,149.0,7.45,11.32,152.87,Paid,False,,2025-07-03 00:00:00
ORD-00000096,CUST-000526,PROD-002,2025-12-06,2,149.0,29.8,21.46,289.66,Paid,False,CMP-0031,2025-12-29 00:00:00
ORD-00000097,CUST-000772,PROD-008,2025-05-30,4,599.0,119.8,182.1,2458.3,Paid,False,CMP-0015,2025-06-03 00:00:00
ORD-00000098,CUST-000456,PROD-004,2025-08-18,1,199.0,0.0,15.92,214.92,Paid,False,CMP-0035,2025-09-05 00:00:00
ORD-00000099,CUST-000113,PROD-008,2025-11-24,2,599.0,0.0,95.84,1293.84,Paid,False,CMP-0005,2025-11-27 00:00:00
ORD-00000100,CUST-000692,PROD-010,2025-08-26,1,129.0,25.8,8.26,111.46,Pending,False,CMP-0030,2025-08-28 00:00:00
ORD-00000101,CUST-000187,PROD-001,2025-05-15,5,49.0,0.0,19.6,264.6,Paid,False,CMP-0008,2025-05-21 00:00:00
ORD-00000102,CUST-000017,PROD-011,2025-01-21,2,699.0,0.0,111.84,1509.84,Failed,False,CMP-0025,2025-01-26 00:00:00
ORD-00000103,CUST-000437,PROD-001,2025-09-08,2,49.0,0.0,7.84,105.84,Paid,False,,2025-10-04 00:00:00
ORD-00000104,CUST-000271,PROD-002,2025-05-05,5,149.0,149.0,47.68,643.68,Pending,False,,2025-05-31 00:00:00
ORD-00000105,CUST-000029,PROD-009,2025-05-07,4,299.0,179.4,81.33,1097.93,Failed,False,,2025-06-20 00:00:00
ORD-00000106,CUST-000778,PROD-008,2025-11-15,1,599.0,0.0,47.92,646.92,Paid,False,CMP-0032,2025-12-24 00:00:00
ORD-00000107,CUST-000600,PROD-012,2025-09-19,3,189.0,0.0,45.36,612.36,Paid,False,CMP-0034,2025-10-16 00:00:00
ORD-00000108,CUST-000910,PROD-007,2025-07-30,1,249.0,24.9,17.93,242.03,Paid,False,,2025-09-10 00:00:00
ORD-00000109,CUST-000481,PROD-006,2025-08-18,2,79.0,0.0,12.64,170.64,Paid,False,CMP-0011,2025-09-16 00:00:00
ORD-00000110,CUST-000439,PROD-009,2025-11-16,4,299.0,0.0,95.68,1291.68,Paid,False,,2025-12-29 00:00:00
ORD-00000111,CUST-000843,PROD-010,2025-08-22,5,129.0,0.0,51.6,696.6,Paid,False,,2025-09-19 00:00:00
ORD-00000112,CUST-000082,PROD-009,2025-02-02,5,299.0,0.0,119.6,1614.6,Paid,False,CMP-0035,2025-03-13 00:00:00
ORD-00000113,CUST-000362,PROD-005,2025-10-13,2,499.0,0.0,79.84,1077.84,Paid,False,,2025-10-21 00:00:00
ORD-00000114,CUST-000799,PROD-012,2025-07-25,5,189.0,47.25,71.82,969.57,Pending,False,,2025-09-07 00:00:00
ORD-00000115,CUST-000293,PROD-004,2024-09-22,5,199.0,99.5,71.64,967.14,Paid,False,,2024-11-04 00:00:00
ORD-00000116,CUST-000886,PROD-005,2025-03-13,2,499.0,49.9,75.85,1023.95,Paid,False,CMP-0032,2025-03-15 00:00:00
ORD-00000117,CUST-000285,PROD-004,2025-12-18,1,199.0,0.0,15.92,214.92,Paid,False,CMP-0002,2026-02-01 00:00:00
ORD-00000118,CUST-000414,PROD-004,2025-07-27,1,199.0,0.0,15.92,214.92,Paid,False,CMP-0025,2025-08-15 00:00:00
ORD-00000119,CUST-000898,PROD-003,2025-12-04,3,399.0,179.55,81.4,1098.85,Paid,False,CMP-0010,2025-12-11 00:00:00
ORD-00000120,CUST-000244,PROD-007,2025-09-26,4,249.0,0.0,79.68,1075.68,Paid,False,,2025-10-29 00:00:00
ORD-00000121,CUST-000969,PROD-009,2025-11-09,5,299.0,0.0,119.6,1614.6,Failed,False,CMP-0031,2025-11-20 00:00:00
ORD-00000122,CUST-000044,PROD-006,2025-12-12,1,79.0,0.0,6.32,85.32,Paid,False,CMP-0011,2026-01-11 00:00:00
ORD-00000123,CUST-000266,PROD-012,2024-12-07,5,189.0,0.0,75.6,1020.6,Paid,False,CMP-0007,2025-01-02 00:00:00
ORD-00000124,CUST-000592,PROD-006,2025-09-13,4,79.0,0.0,25.28,341.28,Paid,False,CMP-0035,2025-10-13 00:00:00
ORD-00000125,CUST-000595,PROD-006,2024-10-23,2,79.0,0.0,12.64,170.64,Paid,True,CMP-0033,2024-12-04 00:00:00
ORD-00000126,CUST-000910,PROD-001,2025-02-10,1,49.0,2.45,3.72,50.27,Paid,False,CMP-0034,2025-03-14 00:00:00
ORD-00000127,CUST-000960,PROD-011,2025-07-19,2,699.0,0.0,111.84,1509.84,Paid,False,CMP-0022,2025-08-14 00:00:00
ORD-00000128,CUST-000678,PROD-002,2025-10-06,3,149.0,44.7,32.18,434.48,Paid,False,,2025-10-18 00:00:00
ORD-00000129,CUST-000660,PROD-002,2025-08-09,4,149.0,29.8,45.3,611.5,Paid,False,CMP-0027,2025-08-26 00:00:00
ORD-00000130,CUST-000318,PROD-012,2025-12-01,1,189.0,0.0,15.12,204.12,Paid,False,CMP-0028,2025-12-08 00:00:00
ORD-00000131,CUST-000806,PROD-007,2025-12-11,1,249.0,24.9,17.93,242.03,Paid,False,,2025-12-28 00:00:00
ORD-00000132,CUST-000643,PROD-001,2025-12-27,1,49.0,7.35,3.33,44.98,Paid,False,CMP-0021,2025-12-27 00:00:00
ORD-00000133,CUST-000025,PROD-006,2024-04-22,5,79.0,0.0,31.6,426.6,Pending,False,,2024-05-10 00:00:00
ORD-00000134,CUST-000833,PROD-008,2024-10-11,2,599.0,59.9,91.05,1229.15,Paid,False,CMP-0021,2024-10-11 00:00:00
ORD-00000135,CUST-000360,PROD-001,2025-08-16,1,49.0,2.45,3.72,50.27,Paid,True,CMP-0030,2025-09-27 00:00:00
ORD-00000136,CUST-000476,PROD-010,2025-08-21,1,129.0,6.45,9.8,132.35,Paid,False,CMP-0002,2025-09-01 00:00:00
ORD-00000137,CUST-000487,PROD-009,2025-11-26,1,299.0,0.0,23.92,322.92,Failed,False,CMP-0033,2025-12-31 00:00:00
ORD-00000138,CUST-000820,PROD-001,2025-08-30,2,49.0,0.0,7.84,105.84,Paid,False,,2025-09-05 00:00:00
ORD-00000139,CUST-000268,PROD-008,2025-10-07,4,599.0,0.0,191.68,2587.68,Pending,False,CMP-0006,2025-11-12 00:00:00
ORD-00000140,CUST-000392,PROD-003,2024-08-15,1,399.0,0.0,31.92,430.92,Paid,False,CMP-0016,2024-08-16 00:00:00
ORD-00000141,CUST-000040,PROD-009,2025-08-29,2,299.0,0.0,47.84,645.84,Paid,False,CMP-0010,2025-08-30 00:00:00
ORD-00000142,CUST-000349,PROD-005,2025-12-30,3,499.0,224.55,101.8,1374.25,Paid,False,CMP-0020,2026-01-12 00:00:00
ORD-00000143,CUST-000089,PROD-003,2025-06-09,1,399.0,0.0,31.92,430.92,Paid,False,,2025-06-23 00:00:00
ORD-00000144,CUST-000583,PROD-007,2025-11-27,3,249.0,0.0,59.76,806.76,Paid,False,CMP-0007,2026-01-03 00:00:00
ORD-00000145,CUST-000894,PROD-006,2025-11-23,1,79.0,0.0,6.32,85.32,Paid,False,,2025-12-29 00:00:00
ORD-00000146,CUST-000465,PROD-005,2025-12-25,2,499.0,0.0,79.84,1077.84,Paid,False,CMP-0005,2026-01-18 00:00:00
ORD-00000147,CUST-000913,PROD-011,2025-07-05,5,699.0,349.5,251.64,3397.14,Paid,False,CMP-0014,2025-07-10 00:00:00
ORD-00000148,CUST-000978,PROD-008,2025-10-27,4,599.0,239.6,172.51,2328.91,Paid,False,CMP-0020,2025-12-02 00:00:00
ORD-00000149,CUST-000054,PROD-006,2025-12-07,2,79.0,0.0,12.64,170.64,Paid,False,CMP-0017,2025-12-19 00:00:00
ORD-00000150,CUST-000517,PROD-003,2025-09-08,2,399.0,0.0,63.84,861.84,Paid,False,,2025-10-08 00:00:00
ORD-00000151,CUST-000529,PROD-007,2024-04-17,5,249.0,0.0,99.6,1344.6,Paid,False,CMP-0016,2024-05-24 00:00:00
ORD-00000152,CUST-000386,PROD-001,2025-12-22,2,49.0,19.6,6.27,84.67,Paid,False,CMP-0013,2026-01-02 00:00:00
ORD-00000153,CUST-000831,PROD-011,2025-11-18,1,699.0,0.0,55.92,754.92,Pending,False,CMP-0021,2025-12-13 00:00:00
ORD-00000154,CUST-000395,PROD-001,2025-08-28,2,49.0,0.0,7.84,105.84,Paid,False,CMP-0012,2025-10-01 00:00:00
ORD-00000155,CUST-000056,PROD-009,2025-11-24,2,299.0,0.0,47.84,645.84,Paid,False,CMP-0018,2025-12-19 00:00:00
ORD-00000156,CUST-000548,PROD-005,2025-07-13,5,499.0,0.0,199.6,2694.6,Paid,False,CMP-0035,2025-07-31 00:00:00
ORD-00000157,CUST-000202,PROD-009,2025-03-23,1,299.0,0.0,23.92,322.92,Paid,False,,2025-04-05 00:00:00
ORD-00000158,CUST-000355,PROD-005,2025-05-01,1,499.0,74.85,33.93,458.08,Paid,False,,2025-06-01 00:00:00
ORD-00000159,CUST-000502,PROD-001,2025-07-29,2,49.0,0.0,7.84,105.84,Paid,False,CMP-0012,2025-08-02 00:00:00
ORD-00000160,CUST-000723,PROD-012,2024-04-18,5,189.0,0.0,75.6,1020.6,Paid,False,CMP-0025,2024-05-13 00:00:00
ORD-00000161,CUST-000279,PROD-010,2025-03-11,1,129.0,0.0,10.32,139.32,Paid,False,CMP-0017,2025-04-19 00:00:00
ORD-00000162,CUST-000381,PROD-001,2025-05-12,4,49.0,0.0,15.68,211.68,Paid,False,,2025-05-22 00:00:00
ORD-00000163,CUST-000068,PROD-001,2025-10-31,1,49.0,9.8,3.14,42.34,Paid,False,CMP-0007,2025-11-08 00:00:00
ORD-00000164,CUST-000385,PROD-007,2025-10-09,2,249.0,24.9,37.85,510.95,Paid,False,,2025-11-04 00:00:00
ORD-00000165,CUST-000581,PROD-012,2025-07-19,2,189.0,56.7,25.7,347.0,Paid,False,CMP-0007,2025-08-12 00:00:00
ORD-00000166,CUST-000617,PROD-007,2025-12-26,1,249.0,37.35,16.93,228.58,Paid,False,CMP-0007,2026-01-01 00:00:00
ORD-00000167,CUST-000294,PROD-001,2025-07-03,3,49.0,7.35,11.17,150.82,Paid,False,CMP-0025,2025-07-30 00:00:00
ORD-00000168,CUST-000061,PROD-009,2025-10-27,1,299.0,14.95,22.72,306.77,Paid,False,CMP-0011,2025-10-30 00:00:00
ORD-00000169,CUST-000578,PROD-006,2025-08-18,2,79.0,0.0,12.64,170.64,Pending,False,,2025-09-08 00:00:00
ORD-00000170,CUST-000656,PROD-008,2025-07-31,2,599.0,59.9,91.05,1229.15,Paid,False,,2025-08-02 00:00:00
ORD-00000171,CUST-000086,PROD-005,2025-08-23,2,499.0,49.9,75.85,1023.95,Paid,False,CMP-0008,2025-09-29 00:00:00
ORD-00000172,CUST-000505,PROD-001,2025-03-02,1,49.0,2.45,3.72,50.27,Paid,False,CMP-0036,2025-04-15 00:00:00
ORD-00000173,CUST-000096,PROD-001,2025-10-10,2,49.0,0.0,7.84,105.84,Paid,False,CMP-0033,2025-10-10 00:00:00
ORD-00000174,CUST-000454,PROD-008,2025-04-21,3,599.0,89.85,136.57,1843.72,Paid,False,CMP-0011,2025-05-20 00:00:00
ORD-00000175,CUST-000641,PROD-008,2024-06-28,2,599.0,0.0,95.84,1293.84,Paid,False,CMP-0023,2024-07-14 00:00:00
ORD-00000176,CUST-000720,PROD-004,2024-05-16,3,199.0,29.85,45.37,612.52,Paid,False,,2024-05-20 00:00:00
ORD-00000177,CUST-000714,PROD-001,2025-09-13,4,49.0,0.0,15.68,211.68,Paid,False,CMP-0035,2025-10-15 00:00:00
ORD-00000178,CUST-000759,PROD-010,2025-09-03,1,129.0,0.0,10.32,139.32,Paid,True,,2025-10-13 00:00:00
ORD-00000179,CUST-000242,PROD-002,2025-06-27,4,149.0,0.0,47.68,643.68,Paid,False,,2025-06-29 00:00:00
ORD-00000180,CUST-000847,PROD-003,2025-10-16,5,399.0,199.5,143.64,1939.14,Paid,False,CMP-0033,2025-10-22 00:00:00
ORD-00000181,CUST-000350,PROD-006,2025-05-31,4,79.0,31.6,22.75,307.15,Paid,True,CMP-0025,2025-07-12 00:00:00
ORD-00000182,CUST-000375,PROD-009,2025-10-14,4,299.0,0.0,95.68,1291.68,Paid,False,CMP-0004,2025-10-15 00:00:00
ORD-00000183,CUST-000788,PROD-012,2025-03-27,1,189.0,0.0,15.12,204.12,Paid,False,,2025-04-13 00:00:00
ORD-00000184,CUST-000328,PROD-008,2025-04-07,3,599.0,0.0,143.76,1940.76,Paid,False,CMP-0015,2025-05-18 00:00:00
ORD-00000185,CUST-000075,PROD-012,2025-06-01,2,189.0,0.0,30.24,408.24,Paid,False,,2025-06-28 00:00:00
ORD-00000186,CUST-000715,PROD-008,2025-06-09,5,599.0,0.0,239.6,3234.6,Pending,False,,2025-06-17 00:00:00
